id,contents,viewers,time
모노야 (kkulgamon18), ㅇㅇㅇ,"13,175",22:43
과외선생님33 (sle702), 탱연습이나 하싲쇼,"13,175",22:43
호갱시대 (snj3953), 킹공이 1티어라서,"13,175",22:43
로덴트 (suplife0707), 세트 탑 이제 안좋음,"13,175",22:43
창래강 (summ2_), 신지드라니깐 형 ?? 진짜,"13,175",22:43
트리스메리염소 (hujy10675), 비건톤,"13,175",22:43
이거각이다 (nekored1207), 탑 착취 카르마 어떠십니까,"13,175",22:43
무친 (hikikomorikim), 근데 오공 난이도가 높은데,"13,175",22:43
특전사대위출신 (hyunjin9452), 오공 레넥 모덴 오른 이 4개만 해도 될텐데..,"13,175",22:43
kga5979, 동숙이형은 문도야!!!!,"13,175",22:43
오버더문 (ovm0326), 둘 다긴한데 우선순위 정하면 오공,"13,175",22:43
ekzmfhem, 오공부터 ㄱㄱㄱㄱ,"13,175",22:43
메니은 (01026334642), 형은 탱커형이 나은데,"13,175",22:43
모노야 (kkulgamon18), 안한건 하지마,"13,175",22:43
seoji1684, 형이랑 탑피들 잘맞아,"13,175",22:43
심연의끝조강현 (march1157), 선택과 집중 ㄱ,"13,175",22:43
rlgutj123, 둘 다 할 줄알면 좋긴하지,"13,175",22:43
wjdtn8466, 세트는 미드랑 서풋 훼이크도 있는데,"13,175",22:43
체력왕김피곤 (badboy9467), ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"13,175",22:43
관우와직녀 (yji5353), ㄹㅇ 오공맘이 그렇게 하라고 할땐 안하고...ㅠㅠ,"13,175",22:43
게롤트오브리빅아 (fludox), ㅋㅋㅋㅋㅋㅋㅋ,"13,175",22:43
볼드와모트 (gombo_is_cexdoll), 오공 숙련도 올리기 어려울거같은데,"13,175",22:43
침산동고라니 (zzaos1), 렝가 ㄱ,"13,175",22:43
kezh8383, 칸트는 ㄹㅇ아님,"13,175",22:43
khansdog, 아니요\,"13,175",22:43
동수우욱칸_ (carpediem0623), 서폿이 세트해야함,"13,175",22:43
vine2nn, 글킨하네,"13,175",22:43
니디_ (hyun06020), 아뇨 ㅋㅋㅋㅋ,"13,175",22:43
게롤트오브리빅아 (fludox), 아니요,"13,175",22:43
사화랑 (nolifeking_), ad 한타는 오공이고 ap한타는 케넨이지,"13,175",22:43
칸의노래 (lyk122), 카르마 스압 벤픽,"13,175",22:43
wanttosleep11, ㅋㅋ,"13,175",22:43
simwoo123, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"13,175",22:43
잠깬잠크리트 (angelgun1), ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"13,175",22:43
김쎈캐대장내시경핥디딧 (godidit), ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"13,175",22:43
꽃받침 (kyung4917), 서폿이 세트못하니,"13,175",22:43
오렌쥬지스 (gks1375), ㅋㅋㅋㅋㅋㅋㅋ,"13,175",22:43
scal_lar, 형 사일러스 하보실 생각 없음???,"13,175",22:43
skfkspdy, ㅋㅋㅋㅋㅋ,"13,175",22:43
콩달콩닥 (sppet), 충신이네,"13,175",22:43
칸트록스 (kimwk0816), 아니요,"13,175",22:43
sollg2101, 잘해야 벤픽 변칙을 하지,"13,175",22:43
모노야 (kkulgamon18), ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"13,175",22:43
우주여우 (spacefox24), 아니요,"13,175",22:43
vnffvnff, 탑이 무슨 심리전 ㅋㅋ,"13,175",22:43
메니은 (01026334642), 오공 안돼 탱커해,"13,175",22:43
종종자 (whdfbf2002), ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"13,175",22:43
seoji1684, 형 탑피들 진심 형이랑 잘맞아,"13,175",22:43
니디_ (hyun06020), 카르마는 가능,"13,175",22:43
hate0120, 문도도 풀릴지 모르는데,"13,175",22:43
모노야 (kkulgamon18), 못하는데 뭘,"13,175",22:43
닉몰라 (bk4012), 얏트 안됨 ㅋㅋ,"13,175",22:43
sollg2101, 국밥,"13,175",22:43
침산동고라니 (zzaos1), 모데각,"13,175",22:43
호갱시대 (snj3953), 서폿세트 ㅋㅋ,"13,175",22:43
사화랑 (nolifeking_), 개맞겠네,"13,175",22:43
종종자 (whdfbf2002), ㅇㅈ,"13,175",22:43
숲떼달 (junsun22kr), 오ㅗ른,"13,175",22:43
체력왕김피곤 (badboy9467), 국밥나왔다,"13,175",22:43
무친 (hikikomorikim), 사일러스는 티어픽조차 아닌데 왜연습함,"13,175",22:43
vine2nn, 심리 걸게없구나,"13,175",22:43
하얀감자주먹오즈 (love_oz), 일라오이,"13,175",22:43
sollg2101, 상대국밥집 oin,"13,175",22:43
팅커테일러솔져스파이 (colatak4), 요새 탑카르마도 좋대매,"13,175",22:43
우주여우 (spacefox24), 모데지 이건,"13,175",22:43
훌렁단보스 (jessica7375), 모데보여주자,"13,175",22:43
얼음귤 (jhlee7998), 탑카르마 요새 다시 나오긴하는듯,"13,175",22:43
심연의끝조강현 (march1157), ㄱ,"13,175",22:43
