id,contents,viewers,time
minjun312, 선생님,"12,358",22:42
ryoo5644, 어허 도선생님 음해세력있네 여기,"12,358",22:42
kib19085, 뭔가 심기건드리는 채팅 많아진거같다,"12,358",22:42
ㅋㅌㅊㅂㄷㅈ (dolteacher), 중국에서 30핑이면 핑ㅈㄴ 좋은거임,"12,358",22:42
kimmb4, 중국 핑30대면 괜찮은편임,"12,358",22:42
minjun312, 사랑합니다,"12,358",22:42
Kole7799," @oromaito__ crnogoras,al zar je bitno","12,358",22:42
노약자석진상손님이태준 (dydrbs486), 응애세력 ㄷㄷㄷ,"12,358",22:42
heretic_void, Igual el Kassa lo tiene re cortito,"12,358",22:42
kimmb4, 중국핑 원래 40중반대에서 60까지튐,"12,358",22:42
dudwns6503, 와우;,"12,358",22:42
paulblanco01, 캬,"12,358",22:42
우희쨩에게쩜프 (kkjjump), 올,"12,358",22:42
잴리입니다 (jellybboo), 저런채팅 안거름??,"12,358",22:42
yjj5153, 위험했다;,"12,358",22:42
AentiReborn, aea,"12,358",22:42
a475789, ㄷㄷ,"12,358",22:42
gkqur418, 오,"12,358",22:42
스갓스갓 (gur030303), 와,"12,358",22:42
듀라한학살자 (doa___), ㅈ버스챔 오리아나로 카사딘 이기면 그게 이상하긴해,"12,358",22:42
paulblanco01, 저게 레넥엘리스지,"12,358",22:42
minjun312, ㄷㄷ,"12,701",22:42
김다단 (nenjy9), wow,"12,701",22:42
wypark3360, 누나 나 죽어~,"12,701",22:42
도파24 (wlsah0104), 어시 무엇 ㅋㅋ,"12,701",22:42
스갓스갓 (gur030303), 머야,"12,701",22:42
swayon, W O W,"12,701",22:42
crole123, waw,"12,701",22:42
내_심장의_색깔은_블랙 (85403), 아름답네,"12,701",22:42
expect__, 선생님 버스나타십쇼,"12,701",22:42
메매 (latolanche), 오우,"12,701",22:42
dudwns6503, 셧다라;,"12,701",22:42
yifw, 갓글,"12,701",22:42
reid3n, assist?,"12,701",22:42
rladudrhksg, 버스파,"12,701",22:42
d_opa, 6어시 오리 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"12,701",22:42
쾌락천비스트 (kensou00923), 이게 어시를 먹네,"12,701",22:42
ryoo5644, 듀라한밴좀,"12,701",22:42
Gol_D_Messi_, Dopa   ,"12,701",22:42
월드오브원삼디 (chattingon), 서폿각나왔다,"12,701",22:42
우희쨩에게쩜프 (kkjjump), 버스파,"12,701",22:42
wzx333, 레넥톤 ㅗㅜㅑ,"12,701",22:42
paiden0407, 6어시 오리~~~,"12,701",22:42
flextion67, @dopa24 which server do you play,"12,701",22:42
김다단 (nenjy9), 어시왕 도흥민,"12,701",22:42
dudwns6503, 채굴달달,"12,701",22:42
d_opa, 향로각 ㄷㄷㄷ,"12,701",22:42
Moobot," Please don't fill up the entire chat, @RafaelKilluaXD (warning)","12,701",22:42
lukexyz09, dopillo el pillo wachin,"12,701",22:42
도파24 (wlsah0104), 엄리스 뭐냐 ㅋㅋ,"12,701",22:42
듀라한학살자 (doa___), 오리아나는 대놓고 버스챔이라,"12,701",22:42
파쇄권 (aceofspade01), 포골도둑,"12,701",22:42
pq1010pq, 이번판 성배향로각이다 달달하다,"12,701",22:42
gkkk0, 외드 두방 ㄷㄷ,"12,701",22:42
스갓스갓 (gur030303), 포방 혼자먹누 ㅋㅋㅋㅋㅋㅋ,"12,701",22:42
upintheclub, @flextion67 text left bottom,"12,701",22:42
듀라한학살자 (doa___), ㅋㅋㅋㅋ,"12,701",22:43
shinjh121408, ?,"12,701",22:43
하반기 (skyblue0858), 정글이 미드는 버렸누,"12,701",22:43
듀라한학살자 (doa___), 탑에 풀어야지,"12,701",22:43
tom0842, 도선생님 서운했네 방금,"12,701",22:43
oromaito__, to kralju Kole7799 jeste hoce cetnici da nam uzmu crnugoru,"12,701",22:43
팤아가 (chungang_), 바로 컽하네 ㅋㅋ,"12,701",22:43
lunarsoul, other team fell apart quickly,"12,701",22:43
gmltmd532, 공든 카이사,"12,860",22:43
듀라한학살자 (doa___), 레넥톤 성님 골드 맥여주려고 ㅋㅋ,"12,860",22:43
cherrima_r6, 돈만 홀랑 먹고 빠르게 집 가고 싶었나본데 ㅋㅋ,"12,860",22:43
expect__, 이제 그래도 미드는 랄로가 더 잘하네..,"12,860",22:43
강한우 (korcowkang), 전령귀환은 ㅇㅈ이지 ㅋㅋ,"12,860",22:43
gosbae123, 오 웬일로 도리아나,"12,860",22:43
lsh000805, 0/0/6,"12,860",22:43
denisxd55, ola,"12,860",22:43
santorinkr, !op´gg,"12,860",22:43
